previous_operator_utterance,operator_utterance,negative_utterance
オペレーター: けっこういくつか行く場所は、もう決まったと思うので、食べ物とかって、ご興味ございますか？,オペレーター: では食べ物で、ざっくり調べてみると。,カスタマー: 食べ物と、飲食店とか、
オペレーター: こちら陶芸教室体験もできて。,オペレーター: で、なおかつ、その工房のプロデュースの、プロデュースした、その器？その飲む器を選べるカフェとなっておりまして。,カスタマー: えー！おしゃれ。ウフフ。
オペレーター: 観光のタクシーみたいのがあると思うんですけど、こういう<>。,オペレーター: タクシーは色々あると思われますのでー。,カスタマー: でも、タクシーとかやっぱ、バスとかっていうのは、そういう専門のバスっていうのは、ない？
オペレーター: 職人の技が見ることが出来る。,オペレーター: 実際に作ってるとこが見れるみたいな。,カスタマー: いいかも<>
オペレーター: なので、,オペレーター: 工場の中で作られたところの、を、そこでお店で売っているみたいなかたちなんですよ。立ち寄るって…。,カスタマー: こ、工場兼お店？
オペレーター: こちら、ちょっとお待ち下さいね、調べてみます、,オペレーター: こちらもそうですね、和歌山県有田市にございまして、有田みかん400年の歴史がございます。,カスタマー: へへ…な、なに？品種改良の歴史とか、そういうことですか？ハハハ。
オペレーター: こちらも、,オペレーター: 他にも何か。,カスタマー: みたいなところって、なんかいいところ、ありますかね?
オペレーター: 一応神社…や寺院という感じでー検索したところーいくつか…ございまして、今ー出てきてるのがー近畿地方の三重県伊勢とかの方…なんですけどー。,オペレーター: 例えばこういった場所はいかがでしょうかー。,カスタマー: あれですよね、伊勢神宮とかそっちの方ってことですかね。
オペレーター: 大きさにつきましては特に記載がないんですけれどもー。,オペレーター: ただ、大きさをイメージできる情報としてはですねー、駐車場が400台、,カスタマー: じゃあ、ずいぶん大きいんですねー。
オペレーター: フフ。,オペレーター: はい。,カスタマー: 今、思い至ったんですけど、四万十川辺りに、なんかそういう温泉ないんですかね？
オペレーター: もしよろしければー、広島県内で探してもよろしいですか？,オペレーター: 少々お待ちください。,カスタマー: スタート、スタート地点でー、入るっていうことになるでしょうか？
オペレーター: お客さま、大変お待たせいたしました。,オペレーター: こちらで、お調べしましたところ、北海道の札幌にですね、札幌かに本家というお店がございまして、こちらですと、札幌駅から大変近くてですね、本タラバと特選ズワイガニの味比べもできるお店が見つかりましたが、いかがなさいますか？,カスタマー: 行き、行ってみたいです。
オペレーター: お客様、どういっ、あと彫刻の森美術館もいいかなぁというに思いますね。,オペレーター: どうですかお客様どう<>何かイメージがわいてきましたか？,カスタマー: そういうなんか、ね、ネタになりそうな、<>とか、
オペレーター: はい、これ八重山、じゃないんですけど、そういった、世界中の、昆虫を紹介しているはくぶ、あ、動物、しょ、しょ、昆虫館、昆虫館、珍しいんですけど。,オペレーター: 昆虫<>見る限り立派な建物なんですけども、こちら面白そうですよね。,カスタマー: そうなの？
オペレーター: と今、お話した、釜屋さん。,オペレーター: これちなみに、お一人で食べ歩きでしたっけ。,カスタマー: そうですね。それに関してはー、食べ歩きというか。
オペレーター: あとはー、洋食になっちゃうんですけれどもー。,オペレーター: <>。そういえば、そういえば、なんか思い出したけども、その道頓堀から難波で、吉本のー、何だっけ？,カスタマー: 吉本キンキ劇？
オペレーター: 写真もすごく猫の、置物とか置いてあって、楽しそうな感じなんですけれども。,オペレーター: どうでしょうか？,カスタマー: そこだったら絵とかに限らず、彫刻だったりとか色んな作品が見れそうな気がしてちょっと楽しそうな気がしますね。
オペレーター: なるほど。,オペレーター: そうでしたら、例えばですね、二宮金次郎ってお客様ご存知ですか？,カスタマー: はい、ええええ、はい。
オペレーター: いかがでしょうか？どちらかお選びになりますか？,オペレーター: 左様でございますか。,カスタマー: 美ら海のほうがいいかなって思いました。
オペレーター: こちらはお寿司とか天ぷらとか懐石、本格的に日本料理を楽しめるレストランとなっているんですけれども。,オペレーター: いろんなものが食べられるっていうところでは、バラエティに富んだレストランっていう感じなんですけど。,カスタマー: 日本食店っていう感じではなくて、レストランみたいな、雰囲気なんですけれども。
オペレーター: そうですね。,オペレーター: あとお客様の方で何か食べたいですとか買いたいものですとか、そういったご興味ございますか？,カスタマー: お土産で
オペレーター: テレビドラマで一躍有名になった尾道焼、砂ずり、砂肝が入った、イカ天が入ったお好み焼きもあるみたいですけど。何のテレビドラマなのかが書いてないんですけれども。,オペレーター: 広島風とは書いてないんですが、いろんな砂肝とかが入っているっていう、きも、ちょっと変わってる感じ…。,カスタマー: 変わってますよねー。
オペレーター: 結構、ジンギスカンのお店がかなり。,オペレーター: ジンギスカンが有名なんですかね。,カスタマー: 意外ですね。
オペレーター: なるほど。,オペレーター: 有田焼ですね。一応、有田焼…有田焼で、調べてるんですけれども、あのー、詳しい情報が出てこなくてですね。申し訳ないんです…。,カスタマー: そうなんですねー。
オペレーター: こちら、純米大吟醸鳥海山を華やかな香りとジューシーな酸味が特徴で、55カ国の日本国政府の在外公館で、外国の、お客様に提供している、ものとなってますね。,オペレーター: こちら先ほど申し上げた、IWCという、ワインの、世界大会の日本酒部門でなんか賞を受賞しているところみたいですね。,カスタマー: じゃあ、
オペレーター: 両方楽しむというのも、ありかもしれません。,オペレーター: 午前と午後で、午前の部の温泉と午後の部の温泉でー<>そういうのいかがでしょうか？,カスタマー: アハハ、うんそれいいですね。
オペレーター: 次が、同時代ギャラリー。,オペレーター: こちらサンジョウノミユキチョウに位置する、ビルの2階にあるんですけれども。,カスタマー: 楽しめるって、体験するっていうこと？
オペレーター: 丼ものであったりとか、いろいろあるんですけれども。,オペレーター: 例えば、丼ものとかであれば、ランチとかからも食べられますしー、あと、お寿司も、<>も。,カスタマー: いや、できればー、そこの、越後湯沢の名産地っていうのを、あればね、1回、食べてみたいなとは思うんだけど、分かんない、かな。
オペレーター: 植物とかーの興味ございますかー？,オペレーター: フラワーガーデン的な。,カスタマー: 花畑とか結構好きです。
オペレーター: そうですね。,オペレーター: 朝行って。そのまま、食べ終わって向かえば、大丈夫かなっていう。,カスタマー: ふっ。
オペレーター: 大間であれば、お、そういった海鮮料理が食べれればってことですよね、そうしましたら、まず、一店目なんですけど、みちのく料理西むらアスパム店っていうお店ございまして、こちらが、青森の郷土料理店なんですけども、青森県産の新鮮な魚介類の料理が名物で、じゃっぱ汁、ホタテの貝焼き味噌、刺身がついた縄文定食などあります。,オペレーター: 特に、刺身とか、お魚系で特になにか好きなものってありますか？,カスタマー: 嫌いなものは逆になにもないんで、おすすめというか、珍しいのがあれば食べてみたいなっていう気はします。
オペレーター: もちろん山とか。,オペレーター: あとトロッコ電車も。,カスタマー: なんかありそう。
オペレーター: ですので、最初の卓袱料理はちょっとお子様もいて敷居が高すぎるかもしれませんので。,オペレーター: このトルコライスと、あとちゃんぽんだとどちらがお好きですか？,カスタマー: 好き、好きなのはもうちゃんぽんは結構食べたことあるので。
オペレーター: 白山ですと、有名なのが荒俣峡という所があるんで…。,オペレーター: 荒俣峡、荒俣峡。,カスタマー: 荒俣峡。
オペレーター: そうですね、で、同じ敷地に、陶芸の工房があってー。,オペレーター: で、一日陶芸体験教室、っていうのを開催。,カスタマー: それ体験するのっておいくらくらいだいたい…、目安としては…、あり、わかりますか。
オペレーター: 好評でございまして、あと小鉢、お造り、茶わん蒸し、天ぷら、煮つけなど…が、付きます。,オペレーター: で、こちらのお昼は、割とリーズナブルで2550円。,カスタマー: すごい…いいですね。
オペレーター: ご予算的にはですねー、お一人様千円から三千円ぐらいでリーズナブルな。お店がこの今おうちごはんをコンセプトとしている。,オペレーター: ここら屋という所になります。,カスタマー: それは、野菜も食べられる。
オペレーター: であとはお土産とかは京都駅、京都の駅ビルのザキューブさんでお買い求めになるという感じの行程となっております。,オペレーター: あと、と、とんでもないです。あと、他にですね、お客様のほうで何かご質問ですとか、ご要望とかありますか？,カスタマー: 鉄板焼きのみくらさんは、いきなりお店に伺っても、席はご案内していただけるんでしょうか。
オペレーター: 五島列島で。,オペレーター: 食べるところですね、海の幸、海の幸だと、えーと。,カスタマー: うん、食べるところ、食べるところ、はい。
オペレーター: あと、トキとかライチョウとかもいてー、ふれあいタイム、みたいのもあって、触ることができるっぽい感じのことが書いて…。,オペレーター: 動物。,カスタマー: 動物、色んな動物触れる？
オペレーター: その屋我地島に行かれるようなパターンにするか。,オペレーター: あるいはもうビーチに滞在なさるか、お客様いかがでしょうか。,カスタマー: どれもいいと思ってて。
オペレーター: ちょうど季節合ってますし。,オペレーター: 1歳以上300円って書いてありますので。,カスタマー: 1歳以上の方でも大丈夫という感じですね。
オペレーター: お客様例えばなんですけれども。,オペレーター: フルーツ狩りですと、例えば、いろいろあるんですけど、な、何を、な、どういったフルーツが、食べてみたいとか、ありますか？,カスタマー: いちごと。
オペレーター: お風呂入った後に、こちらに寄るですとかも、できますが。,オペレーター: こちら、ほんと近くにございます。,カスタマー: いったん外に出るってことですか？温泉、入った後に。
オペレーター: 一応こちら、チェック入れておきますね。,オペレーター: おそば、おいしいですよね？,カスタマー: はい。私、そば派なので、うどんより。
オペレーター: ハーブ。,オペレーター: ではない？,カスタマー: そう。
オペレーター: ひとつなんですけれどもー,オペレーター: <>、札幌の辺りと函館山と、特に他はもう、どこか行きたい所はないですかね？,カスタマー: そのしゅ、その周辺で、何かお勧めが、あれば。
オペレーター: 一度…、栃、木、の方、とかでお調べしますか。,オペレーター: 栃木だと…。,カスタマー: だとか、
オペレーター: 琉球…、ガラス、ガラス細工とか…、っていうよりはー…。,オペレーター: どういった陶芸か、って言うのー…はー、わっかりますかね。,カスタマー: 有名な陶芸家さん、っていうかー那覇～から外れた、恩納村、っていう、たし、<>。
オペレーター: 横浜、のお店なんですけど。グリルドエイジング、グリルドエイジングビーフ。,オペレーター: っていうお店なんすけど、こちら厳選した、黒毛和牛一頭飼いしてて、で、希少部位含めて三十種類以上のにこが、肉が味わえる。,カスタマー: すごい。
オペレーター: レストランもございます。,オペレーター: はい。,カスタマー: アスレチックみたいな、子どもが遊ぶものもありますか。
オペレーター: 仙台、仙台朝市ですかねー。,オペレーター: 仙台のー、朝市商店街というものがー、駅の近くにある。こちらでお間違えないでしょうか。,カスタマー: そうです、そうです、そうです、
オペレーター: ええ。こちら朝の9時半から、5時までやっておりまして、大人様入園料は2500円ほどかかります。,オペレーター: そうですね。本当テーマパークですね。,カスタマー: 動物園だけじゃない。
オペレーター: 福岡県。,オペレーター: 例えばなんですけれども、福岡、福岡にですね、変わった水族館がございますけれども、ご興味ござい…。,カスタマー: 変わった水族館ですか？
オペレーター: ありがとうございます。,オペレーター: しゅ、これでご案内は終了になりますので。,カスタマー: 参考にさせてもらいまーす。
オペレーター: 分からないので、一応、でも、新潟の方に、い、足をのばして、おふ、お風呂に入ったりとか。あと、名物を食べたりとかっていうのであれば、楽しいんじゃないかなと思われますし、お土産も買えますので。是非、お楽しみいただけたらと思うんですけども、いかがでしょうか？,オペレーター: そうですか。では、これで、おす、勧めさせていただきます。本日は色々ありがとうございました。,カスタマー: どうも、どうもありがとうございました。
オペレーター: 花か。アロマの原料。,オペレーター: 具体的にどれっていうのは、ご存じないってことですよね？,カスタマー: ど忘れしてますね。
オペレーター: 今ご紹介した二つですとー、どちらがよろしいですかね？,オペレーター: 夜景ですか、,カスタマー: えへへ、なので、すごい惹かれちゃいました、に、2個目の方に。
オペレーター: 宿泊が、料金が載ってないので、ごめんなさい、入園料のみ分かる形なので。,オペレーター: にゅ、入園料っていうか、ごめんなさい、入浴料が、大人、大人が440円。,カスタマー: 入浴料<>、安い、
オペレーター: こちらは熱川駅から徒歩1分です。,オペレーター: あとはなにかご質問とか行きたい場所、欲しいものとかございますか？,カスタマー: そうですね、食事先に決めたいですね、どちらかというと。
オペレーター: 失礼いたします。,オペレーター: こんにちはー、お願いしまーす。,カスタマー: こんにちは、お願いしまーす。
オペレーター: ここで、お茶をしていただきまして、蓼科パークホテル夕映えの湯に入りまして、キュウゾウベエ餅本舗あらら木っていうところで、お餅を買っていただくって、話で、あと、ギャラリー我忘亭、亭で、我忘亭を、見学をして、黒曜石、体験ミュージアムで、手芸の体験をするというコースなんですけれども、いかがですか？,オペレーター: すごく楽し,カスタマー: フフフ。
オペレーター: あと。,オペレーター: 散策は自由なので、料金はかかりません。,カスタマー: そういう感じのところなんですね。
オペレーター: せんべい汁が、写真が載ってないんですけども、せんべい汁も、あき、青森の、郷土料理っていうことで出してるお店も別であるんですけど、どうだろう、お魚とかのほうがいいですかね？,オペレーター: では、いろいろ食べられた方が、選べた方がいいですかね。,カスタマー: そうですね、選べるというか、ちょっとずつ摘まめるぐらいのほうが本当はいいんですけどね。
オペレーター: お土産品とかも購入できるんですけれども。,オペレーター: ご興味ございますか？,カスタマー: そういうのがね、要するに工芸品？に関わるものが、ゆっくり眺めら、たりするのも面白そうですよね。
オペレーター: ご自宅に戻ったあとも、仙台の思い出を,オペレーター: 楽しむことができます。,カスタマー: じゃ、この2つともー
オペレーター: 少々お待ちください。,オペレーター: やっぱ、ちょっと軽めのものがいいですよね、あんまりヘビーじゃない感じで、そうですよね。,カスタマー: そうですね<>はい。
オペレーター: 季節ごとのそういった商品が、ございまして。,オペレーター: こちらの写真ではね、すごい美味しそうに写ってるんですけれども、,カスタマー: ハハハハ。本屋さんなんですか？
オペレーター: 沖縄総合運動公園ですね。こちら本島中部になりまして。,オペレーター: 地図的には近いと思われるんですけれども。本島。,カスタマー: そうですね、レンタカーで移動かなと思ってます。
オペレーター: であと札幌駅から、とても近い、札幌エスタとゆうショッピングセンターでー、お土産を買いつつ、ラーメンを,オペレーター: ラーメン店が沢山ございますので、こちらで、お過ごしできるかと思います。,カスタマー: すごい、充実したー、旅行にー行くことができそうで今から、楽しみですー。
オペレーター: スノーロイヤルというアイスクリームが790円で。,オペレーター: 味わえますね。,カスタマー: すごい名前ですね、フフ、スノーロイヤル。
オペレーター: ただ今お調べ致しますので、お待ち下さい。,オペレーター: お客様、西の方がよろしいですかね？,カスタマー: 西がいいですね。
オペレーター: <>桜島の中、中というか、桜島の中ですと、島の中じゃないな、これ、すいません、少々お待ち<>。,オペレーター: <>こちらが使っている検索ツールですと桜島そのものが、自然観光スポットみたいな感じで、紹介されちゃっててー<>、そうなんですよー。,カスタマー: それもそうですね、
オペレーター: 保よしさんっていうお店があるんですけれども、こちらはいかがでしょうか？郷土料理になりましてー、しゃぶしゃぶとか、あと、え、越後のもち、もち豚鍋というのがございます。,オペレーター: もちぬ、もち豚でございます。,カスタマー: そ、その、もち豚、な、鍋の中の、なんてゆうの。そのー、なんていうか、あら、え、あれ、りょ、あれ？何が入ってますかね？餅とかー。
オペレーター: 焼肉居酒屋朝日さんというところになります。,オペレーター: そうですね、美味しいと思います。,カスタマー: 肉も食べてちょっと海鮮の方も食べれたらいいかもしれない。
オペレーター: 結構楽しめるんじゃないかと思うんですけれども。,オペレーター: こちらが18時からにじゅうに、にじまで。,カスタマー: でラストオーダーがにじゅうに、20時30分なのでご注意ください。
オペレーター: 昆虫<>見る限り立派な建物なんですけども、こちら面白そうですよね。,オペレーター: そうですね、ここの地方だけじゃなくってー、世界中の、珍しい、昆虫を集めてるっていう感じですね。,カスタマー: じゃ、れだ、日本にない、めったにない、見ないものもる、る？
オペレーター: 不定休になっております。,オペレーター: こちらは、やはり、小さいお子さまでも大丈夫です。,カスタマー: お座敷とかがあるんですかね。
オペレーター: 一応説明を読ませていただくと。,オペレーター: 黒曜石の故郷といわれる土地に建つ博物館。,カスタマー: 美しい黒曜石や天然石を使った弓矢や、がま、勾玉ですね、のペンダント作りの他、縄文織のコースター、作りなど珍しい体験コースで歴史を触れ、歴史に触れてみようって書かれています。
オペレーター: 元はですね、1930年創業のレストランとなっております。,オペレーター: ですので戦前からあるお店でして、これがですね、2005年に長崎の歴史文化博物館のほうに移転してですね。,カスタマー: うんうんミュージアムレストランという形で営業しております。
オペレーター: 夏の北海道。,オペレーター: で、やりたいこと、例えばなんか、あったりしますか、具体的に。,カスタマー: ワインがそいつが好きで。
オペレーター: ハハハ,オペレーター: 中華そばをミックスするというのも、かなり…,カスタマー: ハハハ、面白いですよね、ハハ。
オペレーター: 吉本好きなんですか？,オペレーター: じゃあ是非ここは行ったほうがいいかもしれないですね。,カスタマー: <>ありがとうございます、よかったー。
オペレーター: こちらがですね、そういった青森県産の、ー魚介類ですねホタテですとか。,オペレーター: 珍しいのがですねほんのり塩味のホタテソフトクリーム。,カスタマー: ソフトクリームですか？へー。
オペレーター: そうですね、潟って書いてあるので海ですね。,オペレーター: はい。,カスタマー: ボートにしようかな、じゃあ。
オペレーター: こちらすごい美味しそう、美味しそう<>写真をすごい見せられないのが非常に残念なんですけど。,オペレーター: あと、もう、もう一件ぐらいとんかつ専門店っぽい場所ありますけど、一応こっちも<>、,カスタマー: 一応お願いします。
オペレーター: こちらがも四季折々の山菜料理が楽しめるお店になってますの先ほどと料理の種類は変わってしまうんですが。,オペレーター: 山菜料理がもし大丈夫なようであればこちらの方が、思い出に残るというか、印象には残るかなと思います。,カスタマー: そこではもつ鍋はやってないんですか？
オペレーター: ご興味ございますか？,オペレーター: 確かに。,カスタマー: ああいうの、あっちでは、冬とか春先で、かん、か、観光向けっていうかイベントやってるんですかね？
オペレーター: 公民館…。,オペレーター: 少々お待ちくださいませ。,カスタマー: 新幹線かな。バスはないって聞いたんで。ゆ、夜行バスとか、バスはないという。だから、新幹線か、普通のやつかしかない。
オペレーター: てん、お天気の、元気の気ってあるじゃないですか？,オペレーター: それが、中が米？米って書いてあるんですね。,カスタマー: 氣、氣ですね、
オペレーター: 民謡とかってご興味ありますか？,オペレーター: みん、沖縄の民謡とか。,カスタマー: サンセンでしたっけ、ああいうの弾きながらなんか歌ってくれるやつですか？
オペレーター: はい。,オペレーター: ところなので、これを一応チェックしておきますね。,カスタマー: ああ、はい。
オペレーター: あと何か食べたいものですとか。,オペレーター: 今、お調べ<>ます。,カスタマー: 割と。
オペレーター: あとはもう、ご夕食を決めたい思うんですけど、いかがですかね、まだちょっと何か見たいですか？,オペレーター: 吉本以外でですよね、見るところ。,カスタマー: 夕食。
オペレーター: お客様例えばなんですけれども。,オペレーター: フルーツ狩りですと、例えば、いろいろあるんですけど、な、何を、な、どういったフルーツが、食べてみたいとか、ありますか？,カスタマー: 今までやったことあるのが。
オペレーター: お客様例えばー、新千歳空港ですとー、ポケモンストアっていうのもあるんですけどー,オペレーター: これは違いますよねー。,カスタマー: 忘れちゃったんですけどー。
オペレーター: ロープウェイに乗って、イチジクを、か、食べてって感じで、結構あまり時間かからないと思うんですけど。,オペレーター: いかがですか？,カスタマー: おもしろ、楽しみです、フフ。
オペレーター: なんですかね。,オペレーター: 写真がなくて、確認ができないんですけど。,カスタマー: 変わってて美味しくなかったっていうのも裏切られた感じがしますからね。
オペレーター: 魚介、ちょっと魚介づくしみたいな。,オペレーター: 感じに、なっちゃいますけど。,カスタマー: それでも全然、かまわないです。
オペレーター: 吉本、ではないんですけど、演芸場はあるんですが。,オペレーター: はい。,カスタマー: 演芸場ってなんの<>ですかね？
オペレーター: 加納八景の一つにかぞ、数えられる景勝地なんですけれども、いかがでしょうか？,オペレーター: 奇岩とかが、連なって<>,カスタマー: それって。
オペレーター: なんとなく、ゆ、言われているような、おうどんが出てます。,オペレーター: すごく<>薄くて、お揚げが載っているような形のー<>でございます。,カスタマー: 出てる？
オペレーター: 見ておりますと。,オペレーター: 小樽運河クルーズとございまして。,カスタマー: クルーズ！
オペレーター: ありがとうございます。,オペレーター: では、どうしましょう、ほかになにか、ねぶた、三味線、マグロ、マグロというか海鮮系、あと、今、炊き込みご飯まで決まったんですけど、ほかに見たいものとか、もしあればお調べできるんですけども。,カスタマー: そうですね、あとあまり思いつかないんですが、なにかいいところがあれば、おすすめがあれば、<>行ってみてもいいかなと思ってます。
オペレーター: バリアフリーも対応しておりますし、,オペレーター: 時間帯によって色々と楽しめることがございますが、いかがでしょうか？,カスタマー: そこに行ってみたいなと思います。
オペレーター: あとは、何か召し上がりたいものとか、買って帰りたいものとかーって、ございますか？,オペレーター: こちらの方では、結構やっぱりお米がー、お米とかー、お<>とか、そうゆったものが、めい、めい<>名産ていうか、あるんですけれども。,カスタマー: うん。
オペレーター: いかがですかね？2000円ぐらいーでして。,オペレーター: で、<>と。,カスタマー: で、できれば夜に行きたいなと思ったんですけど、夜の時間帯、開いてるお店ってありますか<>？
オペレーター: 失礼いたします。,オペレーター: 本日はご利用頂きまして、ありがとうございます。,カスタマー: ちわ。
オペレーター: ありがとうございました、失礼いたします。,オペレーター: こんにちは。本日はご利用ありがとうございます。,カスタマー: よろしくお願い<>なります。
オペレーター: いろいろと選べる…。フフフ。,オペレーター: そうですね。さっきはカレーの辛さだったんですけど。,カスタマー: こちらでは、チキンなのか、子羊なのか。
オペレーター: こちらですと、割と何でも揃っておりますね。お菓子から、お酒から。和歌山の特産品を展示販売しておりますね。,オペレーター: こちらは、わ、和歌山市内にございます。,カスタマー: 割とでも、そういうところは、きっと分かりやすいとこにあるんですよね、きっとね。
オペレーター: 楽しいご旅行ができることをお祈り致しております。,オペレーター: 本日は、長いお時間ありがとうございました。,カスタマー: はい、どうもありがとう<>ます。
オペレーター: 先ほどのー、アトリエだとお値段載ってなかったんですが、こちら、お値段、千～六、百二十円、から。になってます。,オペレーター: でお時間としても…、五分、程度に…、なってますので、作業時間。,カスタマー: ああー、ほー、ほー。
オペレーター: こーいったところもございますけれども。,オペレーター: どうですか?ご興味。,カスタマー: 場所と、両方楽しめたらいいですよね、
オペレーター: かき氷はあんまり…すか。,オペレーター: 例えば夏だったら。,カスタマー: 良いかもしんないですねー。
オペレーター: ハイランドーふらのにー変更しますねー。,オペレーター: 温泉は―好きですか？,カスタマー: 温泉好きです。
オペレーター: ヒグ、ヒグマや、絶滅した、エゾオオカミ。,オペレーター: の、剥せ…、,カスタマー: オオカミ、
オペレーター: どうぞー,オペレーター: どうぞ、かしこまりました、,カスタマー: すいません、ご提案ありがとうございます。
オペレーター: アメリカのコニアランドンみたいな感じ、遊園地とか、があります。,オペレーター: あとパリとエッフェル塔とか凱旋門を模した通天閣が誕生みたいに書い、通天閣の通りみたいな、所ですね。,カスタマー: 通天閣ってはいれーますよね、上の方って登れるんですかね。
オペレーター: 何個か出てきてまして、これかな、まず一つ目なんですけど、こちらが、こちらは演奏してるお店なんですけど、津軽三味線ライブあいやってとこなんですが、こちら毎回ではなさそうなんですが、三味線のりんご節にあわせてお客さんも一緒に手踊りをして盛り上がる賑やかなお店、でまなってますね。,オペレーター: 津軽料理とか、そういったのって興味ありますか？,カスタマー: ありますね、どんなのか、たぶん見たこともないし食べたことないと思うんで。
オペレーター: 次が、同時代ギャラリー。,オペレーター: こちらサンジョウノミユキチョウに位置する、ビルの2階にあるんですけれども。,カスタマー: ビルの2階？<>無料で、誰でも気楽に現代美術が楽しめるって書いてあるんですけれども。
オペレーター: 一応こちら、亀有旅館という場所に併設された食堂になってるみたいで、裏手にハタハタ漁で知られる北浦漁港という場所があって、も、ホントに海沿いにあるお店みたい…。,オペレーター: ご、漁港、漁港の食堂という感じですかね。,カスタマー: も、もう、それ絶対美味しいでしょうね、行きたいですね、
オペレーター: ギャラリーボウカテイって、忘我亭というところがございまして、こちらは、八ヶ岳のそばにあるレストランなんですけど、創造性や楽しさに富んだ一期一会のディナーが好評となっておりまして、メニューはフレンチに和の素材や、蓼科の、野菜を生かしたおまかせ、よ、西洋懐石コースみたいのがあります。,オペレーター: 少しおしゃれで、ちょっといい感じのお店なんですけど。,カスタマー: いいですね。フレンチがベースなのが、いね、いいですね。
オペレーター: あります？,オペレーター: どっちを。,カスタマー: 温泉、富山に関しては温泉のちょっと変わったところを。
オペレーター: 公園みたいなところなんですけれども。,オペレーター: わんぱーくこうちっていう。,カスタマー: ワクワク高知。
オペレーター: こちら懐石料理も堪能できますし。,オペレーター: 生け簀の魚介をですねお客さんのお好みで調理してくださるそうです。,カスタマー: わかりました。楽しみですとても。
オペレーター: で大通りジンギスカンっていうお店があるんですけど。,オペレーター: そちらが、穀物シリョウで育てられた極上のグレインフェッドラム。,カスタマー: グレインフェッドラム、
オペレーター: で、沖縄作家さん達も…。作品も揃ったりとか。,オペレーター: <>。,カスタマー: それは…、体験っていうか何かあれですか、出来るんですかね。
オペレーター: サンマとかも。9月から10月はサンマと書かれているんですけれども。,オペレーター: カキの時期があれなんですけど。,カスタマー: カキ…でも、冬ですよね。
オペレーター: 聖フィリップ教会、というようなものあるんですけれどもー、こちらお客様ご存知でしょうか。,オペレーター: もう一度お名前…。,カスタマー: それもやっぱ有名な所なんです？
オペレーター: 是非、お勧めしたいんですけれども,オペレーター: お客様いかがでしょうか？,カスタマー: 古くから、続いている<>があるお店ということでー
オペレーター: とかはどうー、ですかね。それよりはさっきの方が良いのかな。,オペレーター: でも、そうだ。先ほど言った…。ステーキハウスみはしさんは、一応夜まで、夜の八時までやってるんで。,カスタマー: ですよね。夜やってるみたいな…。
オペレーター: 楽しいですよね、なかなかこういう所じゃないとね、できないですし、,オペレーター: 鳥取砂丘ではそういったパラグライダーとかがありますね。,カスタマー: そういうのは良いと思います。
オペレーター: じゃあ今、検索してみますね。,オペレーター: 近くなんですけど、吉本興業の、っていうので検索するとー、吉本<>漫才の<>若手ですね、若手が、の漫才師が中心に出演する吉本漫才劇場を備えたシアタービルっていうのがあるんですけれどもー、こういうのは実際に見るのは、ど、どうですか？,カスタマー: <>鑑賞するってことですよね。
オペレーター: 2番目の。,オペレーター: こちら、釜淵の滝、岩手県、釜淵の滝。,カスタマー: 釜淵。
オペレーター: さっきのぽんぽこ亭の後でのお召し上がりになっても良いかと思います。,オペレーター: 高級感のある。ゆう、そうですね、夕食に使おうかなと思ったので,カスタマー: 予約が取れるかどうかって確認取れますか？
オペレーター: 失礼致します。,オペレーター: こんにちはー。,カスタマー: こんにちはー。
オペレーター: 結構、いろんな、カニの中でもいろいろ、食べ比べができるような場所になってましてー、,オペレーター: こちら、ご興味ございますかね。,カスタマー: あります、興味。
オペレーター: 石垣島の方にも、こちら水牛が車をひっぱってー、海の中の、海岸沿いですか。,オペレーター: こちらのイメージでございますか。,カスタマー: 左様でございますか、大変失礼しました。
オペレーター: こちらは熱川かい、開発の歴史など古い写真を使ったパネル展示とか、資料館、無料の足湯などがございます。,オペレーター: あと資料館には喫茶店もございます。,カスタマー: じゃあ足湯気になるんで、そこ寄りたいかなって思います、
オペレーター: すいません、そしたら、じゃ、一応、こちらも候補の一つとして。,オペレーター: あげておきますね。あとですね、お客様、体験といったところで。,カスタマー: ありますー。
オペレーター: さようでございますか。,オペレーター: こちらでですね、,カスタマー: カジュアルっぽい感じですか？フフフフ。
オペレーター: いろいろ滑り台とかジャングルジムとかあって。,オペレーター: トイレもございますし。,カスタマー: 年間を通じてイベントが開催されているようでございます。
オペレーター: どちらがよろしいか、あるいは全部もあるか。,オペレーター: それとも二つぐらい選んでみるかいかがでしょうか？,カスタマー: できればお昼近くにかまぼこ博物館の方に伺うようにして。
オペレーター: ではないと思います、レストランと書かれておりますので、,オペレーター: 懐石とか言っても、ホテルの中にあるレストランっていった雰囲気ですかね。,カスタマー: おりょう、一応、座席、テーブル席と、お座敷の席がって、お酒やと料理、懐石みたいなものもございますっていう感じになっているんですけれども。
オペレーター: なにか<>。,オペレーター: 例えばなんですけど、お好きなもの自然が好きとか、お寺が好きとか、例えばその歴史的な建物がお好きとか、そういったのってありますか？,カスタマー: そうですね、何か青森の特徴あるものであれば、行ってみたいなあ<>。
オペレーター: さようでございますか。,オペレーター: こちらですね、JR東照宮駅とゆー駅がございます。,カスタマー: 何線ですか?JR。
オペレーター: 花祭りがございます。,オペレーター: みたいですね。,カスタマー: そっか、じゃもしかしたら今行ったらギリギリ見れるかもしれ。
オペレーター: 違う地方、関西地方とかどうですか。,オペレーター: 関西で。,カスタマー: 少々お待ち下さい。
