one_previous_utterance,previous_operator_utterance,current_utterance
カスタマー: へー。,オペレーター: 丁寧に焼き上げたって感じなんですけれども。,カスタマー: 美味しそうですね。
オペレーター: あのー、気軽に散策されるのも、はい、よろしいかと思います。,オペレーター: はい。,カスタマー: 喜屋武岬ですね。はい。
カスタマー: あ、はい,オペレーター: そうですね、岬も流氷も、はい、あのー、眺められるという、イメージ,カスタマー: ええ
オペレーター: あ、ありがとうございます、こちらも嬉しいですー。,オペレーター: はい,カスタマー: ありがとうございますー。
オペレーター: ちょっとそういった写真は載ってないんですけど、おそらくそういう、あのまあ、ライブも楽しめるみたいな、お店みたいですね。,オペレーター: そっかー、意外と。,カスタマー: ええ、ええ。
カスタマー: なんだろう、襟裳岬とか<>、はい。,オペレーター: ええー,カスタマー: はい
オペレーター: で…。,オペレーター: 一応、えーとー、写真～…、ちょっとこちらで、今確認…、してる写真、まあお見せ今、出来ないのがちょっと残念なんですけど、あーのー…。,カスタマー: はい。
オペレーター: ええ。こちら場所がですね、和歌山市内にございますね。,オペレーター: ほー、ほうほうほうほうほう。,カスタマー: で、こちらあの海のほうなんですよ、和歌山市内の。
オペレーター: で、こちらも高松市内に、えー、和工房れおんとゆう、お店がございましてー。,オペレーター: えっと、こちら、彫刻の専門店が、えー、専門の方が営む和雑貨のお店となってまして,カスタマー: あー
カスタマー: あー,オペレーター: 巻きつけて,カスタマー: はい
カスタマー: あ、でも香川県ならちょうど、ちょっと、おうどん食べたいなって思っていたので、いいなーと思って。,オペレーター: あはは、なるほどなるほど。,カスタマー: <>じゃ、温泉、とりあえずこちらーひとつ、ま、行くところのリストに加えるという感じで大丈夫ですか？
カスタマー: はい。,オペレーター: はい。,カスタマー: はい。
オペレーター: 十二湖散策コースっていうのがございましてー,オペレーター: はい。,カスタマー: あのー、あ、すいません、ちょっとこれが、すい、<>、間違えました。すいません。
オペレーター: からくり半蔵っていう、なんか。,オペレーター: ハハ。細川頼直さんっていう人が。,カスタマー: はい。
オペレーター: ラーメン店が8店舗ございます。,オペレーター: あ、ラーメン！,カスタマー: そうですよね、北海道といえばラーメンもありましたね！
オペレーター: こんにちは。,オペレーター: こんにちは。,カスタマー: よろしくお願いします。
オペレーター: なんか他に見たいものとか。,オペレーター: ま、対馬にも行ってみたいことは行ってみたいですねー。,カスタマー: 対馬。
カスタマー: ぜひ行ってみたいですね。,オペレーター: 一応、えーと、今ご案内した恵比寿大黒としっていうお店は、あの、お休みが日曜になりますので。,カスタマー: うん。
オペレーター: はい,オペレーター: 私の3人家族でー,カスタマー: はい
カスタマー: はい。,オペレーター: はい行かれてはどうかなと思います。,カスタマー: あとそう、うん。あとそうですね。
カスタマー: あっ、なみのうえ…何でしたっけ？,オペレーター: えと、なみのうえのぐう。,カスタマー: なみのうえのぐう、は、はー。
オペレーター: ええ。よろしいかと思うんですけれども。,オペレーター: うんうん。,カスタマー: うんー。
オペレーター: はい。かしこまりました。,オペレーター: ではですね、沖縄結構広かったりするんですけれども。,カスタマー: はい。
カスタマー: うんうん。,オペレーター: んー、サクサクに揚げた、あのー、チキンのレッグがポイントってか、あの、あ…。,カスタマー: え、チキンの何ですか？それ。
カスタマー: ふーん。,オペレーター: あのー、青のりとかが、やっぱりマヨネーズかけて食べる、食べ放題みたいな感じで。,カスタマー: あー。
カスタマー: 十勝、うーん。,オペレーター: あとはー、あの、池田町ブドウ、ブドウ…酒、研究所、ワイン城ですね。,カスタマー: わ、ワインのー、あのーけんが、工場見学ーで御座います。
オペレーター: ちょっと私の方でも迷っておりまして、はい、お客様はどのようにお考えになるかなーと、ちょっとお聞かせ頂けると嬉しいんですけれども。,オペレーター: えへ、えへ。,カスタマー: そうですね、あのちょっとお店のイメージが、うーん、お店の食べる食事の所もこう鄙びたイメージを、わいてしまったんですけど、でも、まあー。
カスタマー: えーとー、北海道に行きたいんですけれども。,オペレーター: あ、はい。,カスタマー: えと、季節とかー、ご希望ございますか？
オペレーター: はい。,オペレーター: あ、そうなんですね。,カスタマー: へへへ。
カスタマー: あー、<>はどうやって行くんです？,オペレーター: あ、ビーチですか？,カスタマー: はいはい。
カスタマー: な、何時まで？10時までだったっけ？,オペレーター: 21時ですから、9時までです。はい。,カスタマー: 21時？あ、9時までね。あー。
カスタマー: はい。はい。,オペレーター: その後景色をどんどん坂からご覧になって。,カスタマー: そしてお夕飯は天天有さんのちゃんぽん、皿うどんございますね。
カスタマー: え、なんか美味しいのあるんですか？,オペレーター: はい、今お調べいたしますね。少々お待ちください。,カスタマー: はい。
オペレーター: こちらがまずオススメ…かなと。一軒目、一軒目、まずこちら、お伝えしておきます。,オペレーター: はい、ありがとうございますー。,カスタマー: でー、えーとー。一応、二軒目なんですけどー。
オペレーター: と、越後湯沢で、か、あと。そのー。,オペレーター: え？,カスタマー: 展示会ですか？かい…。て。
オペレーター: うん、あのー、大人様がですね、1700円ほどかかるんですけれども。,オペレーター: はい。,カスタマー: はい。
カスタマー: へえー。,オペレーター: んー。あとは。,カスタマー: <>。
オペレーター: えーと、あ、それから、えっと、わら、わらじやさんで、セシール店で、え、たこ焼きを食べまして。,オペレーター: 新世界の、あの串カツいっとくさんで、えー、串カツをお召し上がりになって。,カスタマー: 通天閣に登って、えー、それから、えーと、今の、イムズカフェというんですけれども韓国人のお店、ですね。
カスタマー: ふぅうーん、ああ、そこ行ってみたいです。,オペレーター: あ、はい、じゃ、波上宮、のほうですかね？,カスタマー: はい。
カスタマー: はい。はい。そうですね。えー京都というと、あのー食べ物だと何が、あのーいっぱいあると思うんですけど、京都も。,オペレーター: はい。はい。はい。ええ、ええ。はい。,カスタマー: えーっと、ちょっと今ぱっと浮かぶものがうどんぐらいしか出てこないんですけど、うどんの他には何がえーと、食べ物はありますかね。
オペレーター: はーい。,オペレーター: なんかあの、面白いところ見つけたんですけど。,カスタマー: うん、なになに？
カスタマー: うーん。,オペレーター: はい、でこちらあのーせ、千人風呂とございまして、沢山の人数で入れるような大きい大浴場となっております。はい、でこちら、あのーえーっとですね…国の国民保養温泉の第1号地。,カスタマー: うん。
オペレーター: ええ、ええ、ええ。,オペレーター: ちょっと<>しようかななんて思ったんですけ、まぁ予約をとっちゃって。,カスタマー: あっ、あっ、ええええ。
カスタマー: はい。,オペレーター: こ、効能、効能が載ってて、神経痛とか。,カスタマー: あの。
カスタマー: はい。,オペレーター: ずんだを使った、お菓子のお店。お客様、お好きですか？,カスタマー: はい、好きです、はい。
カスタマー: ああー。,オペレーター: はい、ええ。,カスタマー: そういった意味でー、結構観光では、魅力なん、だけ、ど、まあ特に特徴はない、っていう感じですのでー。スーッ、あのー。
カスタマー: はい、はい。,オペレーター: し、北えびすも載ってない。,カスタマー: ふーん。
オペレーター: ではこちら、リストに加えさせていただきます。,オペレーター: はい、では一応こちら、営業時間なども、えー、ご紹介させて頂きますね。,カスタマー: と、こちら夜が17時から21時半となっております。
カスタマー: はい、大好きです。,オペレーター: はい、かしこまりました。そしたら、こちらも候補の一つとして、はい、押さえておきますね。,カスタマー: はい。
カスタマー: はい,オペレーター: で、えっと、さっきのえっと円山動物園が,カスタマー: はい
オペレーター: 国の天然記念物のアオギリ樹林みたいな、樹林もあるみたいな。,オペレーター: ま木ば、ちょっとアロエを見た後に木、また樹林っていうのはあれなんですけども。,カスタマー: いやいやいや。あの樹齢2000年の御神木なんかもあります。
オペレーター: こちらあのキリシタン大名のですねー、まあ当時の、大村氏というものがござ、いましてー、その、名残、というか、まあその家の跡に、建てられたー、教会だそうです。,オペレーター: ええ。,カスタマー: ええ。
カスタマー: あーそれはいいですね。,オペレーター: ゆっくりできるかなっていう。,カスタマー: で、夜も刺し身、ステーキ。
カスタマー: はい。,オペレーター: はい。,カスタマー: はい、少々お待ちください。
カスタマー: そうです、そうです、そうです、はい。はい。はい。,オペレーター: ええ。こちらですね、昭和23年頃からやっているということでー,カスタマー: えー。
オペレーター: あの写真もすごく猫の、なんか置物とか置いてあって、楽しそうな感じなんですけれども。,オペレーター: はいはいはい。,カスタマー: どうでしょうか？
カスタマー: はい。,オペレーター: 結構あの、お店の雰囲気はー、もう、あの、す、スナックみたいな、こ、スナックっていうかなんていうか、あのー、なんていうん、ファストフードみたいなー、店構え、店構えで、中もカウンターとかがありまして、あの、結構、こうラフな感じで入れるお店なんですが。,カスタマー: へー。
オペレーター: とその加工品などを販売してるお店がございまして。,オペレーター: うんうん。,カスタマー: はいわさび漬けですね、はい。こちらもそうですねあのご家族に買われてもはい宜しいかと思います。
カスタマー: へえー。,オペレーター: はい。約20分間、乗りまして、あの、慶良間諸島にある小さな島でございます。はい。,カスタマー: はい。
オペレーター: そうーですね、ちょっとー。,オペレーター: ええ。,カスタマー: 折角～、そこの近くに行くならー、もう首里城も、まとめてー。
オペレーター: ラベンダーがー、あのー、有名なのは、富良野のー公園が出てきてしまっているんですけれども、札幌からは離れているんですが、富良野も、いかがですかー？,オペレーター: うんうん。,カスタマー: そうですね。
オペレーター: で、その名の通り、えーと、今でも札幌を一望できて、夜景はもちろん、日中も、えと、絶景を楽しめるスポットとなっております。,オペレーター: ほぉおー。,カスタマー: でこちら、ロープウェイ、が、ございまして、こちら乗り継いで、えっとー、山頂展望台の方に向かって、えー、登って行くような、まあ、アトラクションといいますか、まあ、アクティビティが楽しめる場所となってますね。
オペレーター: 一応読ませていただくと、明治36年に第五回、えー、勧業博覧会に、が、かい、開催され、跡地の、跡地の東半分が天王寺公園、西半分が新世界と称されたのが、このエリアの起源となっております。,オペレーター: へー。,カスタマー: えっと、一応ですね、えーとー、博覧会のおよそ8年後、アメリカのコニオ、コニオワン、アイランド<>、コニーアイランドをまねた遊園地、メガパークっていうのがあるみたいです。
オペレーター: かしこまりました。それではこちらも候補の一つとしてはい、置いておきます。,オペレーター: おねがいします。,カスタマー: はい。
オペレーター: はい、お勧めでございます。,オペレーター: すいません。あの、お時間が来ましたので、きょうはこの辺で。,カスタマー: はい。
カスタマー: ええ、ええ。はい。,オペレーター: 海水浴場から近いので。,カスタマー: はい。歩いて行ってお買い物することもできるかなって思うんですけども。
カスタマー: はい。,オペレーター: お客様、お待たせいたしました。,カスタマー: はい。はい。はい。
カスタマー: 朝はゆっくり寝ます。,オペレーター: はは。はい。そうですねすいませんあのー1日の流れをちょっとあのまとめてあのーあのちょっとまとめてみたいんですけれども。,カスタマー: はい。
オペレーター: はい。はい。,オペレーター: ありがとうございます。,カスタマー: はい。じゃあ、すいません、本日はこちらにて、はい、終了となります。
カスタマー: うん。,オペレーター: あと、ビデオで、あの昆虫の生態とかを、紹介してたりとかしてー、あのーこのやえま、八重山諸島にしかいないっていう、くろてん<>。,カスタマー: あー。
オペレーター: えーえー。,オペレーター: はい。,カスタマー: 場所と、なんか、両方楽しめたらいいですよね、うーん。
オペレーター: ええ。あのー、海を見下ろす、小高い丘の上に建ったですねー、教会がございましてー、ええ、こちらあのー、名前がですね。カトリック、出津教会。と言います。,オペレーター: はい。,カスタマー: はい。
カスタマー: ニーサンヨンゼロ、はい、ありがとうござい<>、メモしました。,オペレーター: はい。はい、復唱いたしますね。ゼロニーニ、ニーイチニ、ニーサンヨンゼロでございますので、よろしくお願いいたします。,カスタマー: はい。
オペレーター: はい。,オペレーター: はい、一応、こちらですね、あのー、フルーツ狩りは内容に異なる、って、やはり時期によって多少、違うんでしょうけれども。,カスタマー: はい。
カスタマー: あ、大阪の方で、ちょっと考えておりまして。,オペレーター: はい。,カスタマー: はい。
オペレーター: はい、こちら本島でございます、ですので。,オペレーター: あ、うーん、どの辺なんでしょうねえ。,カスタマー: お客様<>。
カスタマー: そうですね。うーん。,オペレーター: 一応お子さ、はい。,カスタマー: <>あ、すいません。えっと、市内から近いんですか？ちょっとあんまり地理詳しくないんです。
カスタマー: まあー。,オペレーター: カフェレストラン？,カスタマー: はい。
オペレーター: のすぐそばに。,オペレーター: ある。,カスタマー: 温泉なんですけど、写真を見る限りだと。
カスタマー: あ、はい、じゃそれで、そんな感じで行きたいです、はい。,オペレーター: はい。,カスタマー: えっといろいろ食べ歩きされているんですけれども、ではあの夕飯とかーいかがいたしますか？
オペレーター: そうですね、例えばでは、お客様、こちらどうでしょう。千八百九十六年。,オペレーター: 明治二十九年に建てられた、教会、ございましてー。こちら、カトリック中町教会、と言います。ほう、ほう。,カスタマー: ええ。
カスタマー: あのー、そうだな、どうしようかな。なんか昔、そのー、あの、仙台駅の駅前にー、えっと、なんか、なんか古びた映画館があったかと<>けどー、もしその映画館がもしかしたら様変わりしてしまったかもなんですけど、なんか<>があればー、ちょっと休みがてら映画館で<>、何でもいいんですけど、見たいかなって感じなんですけど、ありますかね。,オペレーター: ええ。,カスタマー: ええ、ええ。
オペレーター: どうでしょう、お客様、10時とか、それぐらい早い時間がよろしいですか？,オペレーター: そうですね、頑張って早起きをしてますしー、あとあんまりお昼時混むとちょっと妹のことも心配なので、もう、開店と同時にちょっと早<>けど、早弁感覚で、はい、はい。,カスタマー: ええ、ええ。
カスタマー: ふんふんふん。,オペレーター: あの女将さんがこう考案したつけ天っていうのが今あのさっきおは、話をしたような、しましたあのー、冷たいお蕎麦の、をあのー、エビが乗っているみたいな、天ぷらが乗っているみたいな、あのーもので、暖かなお蕎麦に大きなエビが天が入っているものもございます。,カスタマー: はー、なるほどなるほど。
カスタマー: はい,オペレーター: こちらがですね、あのー、北海道の代表的な味覚である、蟹料理をはじめ、あのー、郷土懐石など、あの、ございまして,カスタマー: はい
カスタマー: えええ。へへへ。,オペレーター: はい。そういった温泉もありますね。ええ。,カスタマー: そうなんですね。<>
オペレーター: パークウェイの近くではあるんですけれども、静岡市立日本平動物園。,オペレーター: うーん。,カスタマー: がございまして、はい。こちらがですねあの静岡市立という、いったところで入園料がですね、あの620円。
カスタマー: そうですね、まず子供が楽しめる場所がいいですかね。あるいは、ええ。,オペレーター: ええ、ええ。かしこまりました。,カスタマー: では、お子様向けの場所でございますね。
カスタマー: そうーですねなんか、うーん。なんかー、もしービール工場みたいな見学出来てー、そこでー、なんか…、限定のビールなんて買えたらー、良いなーなんて思って<>、ねー。,オペレーター: っていうのもまあ、はい…。,カスタマー: んっ…、ああ、良いですよね、うん。
オペレーター: 公民館に行かれて、そのほか何か、あのー、お食事とかー、<>。,オペレーター: そうなん、だから、あのー、食事ね。その時は食事しようかなと思ったんだけど、もう遅かったんで、すぐ帰っちゃったんでー。じゃ、今回、だから…。,カスタマー: はい。
カスタマー: あ、はーい。,オペレーター: はい。,カスタマー: 今日はありがとうございました。
オペレーター: そうですね、うん、なんかタクシーとか乗って移動して。,オペレーター: そうですねー、うん、タクシーで行かないとね、どっちかが飲めないから、はははは、うん喧嘩しますからね、ははは、だからじゃないとだめ。,カスタマー: そうですよね、あの、お互い、お互い飲む、飲むためには。
オペレーター: 外観を説明することがちょっとできないんですけど。,オペレーター: はい。,カスタマー: ほか、ちょっと、今の説明にも出てきました、波上宮という場所も、ございまして。
カスタマー: <>。,オペレーター: 野菜っぽいのもありますけど、ホタテ貝がのったものとか。ちょっと違うお店なんですけど、こちらも、あのー、カレーショップ。,カスタマー: カレーショップエスっていうお店なんですが、あのー、鶏、コイチモ、鶏ガラと香辛野菜。こちら野菜がメインみたいな感じなんですけれども、あの、スープにコリアンダーとか、チリパウダーとか、いろいろスパイスをミックスして、辛味スー、スパイスは、あの、キル、キル、プリッキーヌ、ホワイトペッパーの7種類を配合、チキンの大きさ。
カスタマー: はい。,オペレーター: はい。大変お待たせいたしました。,カスタマー: えーと、お客さま、あのー、函館朝市とございまして。
オペレーター: ここ、ん？ここでしか食べれないものですか？ここ。,オペレーター: まあ、だ、であればさらにいいですね。,カスタマー: うーん。屋久島だと、えーと、ちょっとお待ちください。
オペレーター: ええ。,オペレーター: うん。ですよね。,カスタマー: で、ええ、あのー、お客さま、夏頃とのことなんですけれども8月ぐらいですかね？
カスタマー: うーん、うんうんうん。,オペレーター: はい。そうなんですね。見頃があるんですよね。,カスタマー: はい。あ、ただですね、今調べましたところ、あの、べ、別の場所で、あのー、やはり、あの、ヒマワリ畑がございまして。
カスタマー: ああー、はあ、はあ。,オペレーター: もう、全然関係ない…、あのー…、もういっ…。,カスタマー: 旅行…、ご旅行の予定日。あの…、いつでも行けるっていう…。
カスタマー: えーえー、あの、そーそーそー、ホヤね、私、あの、友達のオグラさんて方が。,オペレーター: えーえー。,カスタマー: えー、はい。
カスタマー: うん、面白いですね。うーん。,オペレーター: なんかちょっと、タイムスリップした感じに、あの、沖縄の古民家が並んでるみたいな料理店、沖縄料理店です。,カスタマー: ええ、ええ。よさそうですね。
オペレーター: そうですね、もうひとつが。,オペレーター: 株式会社宝水、たからのみずワイナリー。,カスタマー: ほうほうほう。
オペレーター: あとその、水陸両用バス。,オペレーター: はい。,カスタマー: はい、こちらに乗っていただいてー。
オペレーター: えーと、こちらには、えー、昇竜堂っていうのがありまして。,オペレーター: うんうん。,カスタマー: あの、ま、要は鍾乳洞ですね。
オペレーター: はい、えーとですね、今一応食べ物は、えーと、2件ご紹介したんですが。,オペレーター: はい。,カスタマー: 両方とも魚介ですので、ほかの食べ物でしたりとかご紹介しましょうか？
カスタマー: そんなような所が良いです、はい。,オペレーター: では、あのぴったしな場所をお調べ致しますので、少々お待ち頂けますか？,カスタマー: あは、はい、はい。
カスタマー: はい。,オペレーター: あ、はい、ありがとうございます。,カスタマー: はい。すいません、それではお時間がそろそろ来ましたので。
カスタマー: はい。,オペレーター: はい。,カスタマー: はい。あのー、すぐ。あ、地下鉄ですね、京都の地下鉄に乗っていただいて。
カスタマー: 牡蠣、あ、もちろん牡蠣も好きですね、はいはいはい。,オペレーター: あー、そうしましたらですね、やはり、あの、仙台のち、仙台駅に近いところにですね。,カスタマー: はーい。
カスタマー: いえいえ。初めてあの、お聞きした場所なんですが、あのーその四季折々の、はい、えっとーアクティビティが楽しめるっていうことで、はい。,オペレーター: ええ、はい。はい。はい。あ、そうですね。ええ、ええ。,カスタマー: あの、ぜひ、はい。こちらですね。ええ、はい。あ、すいません、ごめんなさい。はい。
カスタマー: 分からないんですけど。はい。,オペレーター: あ、はい、かしこまりました。,カスタマー: こんな感じで考えてます。はい。
オペレーター: いいですね。,オペレーター: ありがとうございます。,カスタマー: でえーは、えー北海道、特に具体的になにかやりたいとか、こういったことしたいとか、って決められてますか？
オペレーター: こちらがですね、えっと。,オペレーター: あ、こちらが、松島、宮城の松島、え。,カスタマー: あ、はいはいはい。
オペレーター: あとー、サッポロファクトリーとゆうお店も、ございます。,オペレーター: えっと、そちらは、あのー、さっき申し上げた札幌のファクトリー、あの、明治9年に、せ、そ、設立されていて、設計されて、設立されていてー、あの、サッポロビールの跡地に作られた大型のフクギョーキセツ、施設なので、ま、十分、ショップとか、レストランもございます。,カスタマー: ふーん。
カスタマー: はい。,オペレーター: あのー、ラーメンが食べれることができるんですけど。,カスタマー: はい。
オペレーター: なんかお寺巡りみたいになっちゃうんですが。あの、何かこう、もうちょっと、子供さんが楽しめそうなものの方がよろしいですかね？こう…。,オペレーター: あー。,カスタマー: 神社とかよりは、あの、もうちょっとこう、公園みたいなところの方がよろしいでしょうか？
オペレーター: もしよろしければ、はい。,オペレーター: あ、そこも是非、候補にしたいです。うん。,カスタマー: はい。分かりましたー。
カスタマー: でもー、なんかこう昼も夜も肉料理とかにするんだったら、まあ例えばそのお昼か夜に鍋に、その野菜が多い鍋とかだったら、まあ尚いいかな,オペレーター: 一応こちらのお店がえーと17時から22時半,カスタマー: あー
オペレーター: はい、ではえーとこーちーら、かつ亭豊年という店で、えと一応営業時間についてお、お伝え致しますと、朝十時半から、っと夜の八時まで、やっておりますー。,オペレーター: <>はい。,カスタマー: はい。
オペレーター: こちらが。,オペレーター: これは違うか、ごめんなさい。,カスタマー: ちょっとお待ちください。
オペレーター: 独自の醸造方で、北国ならではのワイン作りに取り組む小さなワイナリー。,オペレーター: うん。,カスタマー: ということで、えーっと。
オペレーター: あとはー、もうひとつあるのが、アップルスパイスという、あのー、お店なんですけれども、こちらも洋風のレストランでして。えーとー、こちらは昭和58年開店の、オープン以来、好評のカレー。カレーらしいんですけど。カレーはスパイシーで、また、から、あま、あ、食べたくなる味っていう感じで、あの、昼は、昼の他にも女性に人気のアップルスパイスランチというのがございます。,オペレーター: へー。,カスタマー: はい。
オペレーター: 観光地としてあの行き先としてどれぐらいお客様にお選びいただけるかという点では、ちょっと不安が私の方にはございますので。,オペレーター: えへへへへ、へへ。,カスタマー: ええ。
オペレーター: にん、認定店。,オペレーター: あー。,カスタマー: もう最高ランクの肉をはじめ、厳選した上質な肉と。
カスタマー: あー、あ、そうですか。,オペレーター: まあ、そこそこ手頃ですよね、そのぐらいなら、うーん。,カスタマー: ええ、ええ、そうですね、あのー、特になんか牛タンを食べるのにたくさんお金がかかるとか、そういうわけではないようです。
カスタマー: はい,オペレーター: あー,カスタマー: 巻きつけて
カスタマー: おー。,オペレーター: っていうお店が、これも那覇で、あるんですけど。,カスタマー: はい。
オペレーター: こういう公共施設というのが、月曜日がお休みなところが多いようで。はい。,オペレーター: ああ。どこも、お休みなんですかね？,カスタマー: そうですね。こちら、月曜日がお休みとなっておりますね。こちらも。はい。
カスタマー: はい。,オペレーター: うんうんうん。,カスタマー: はい。あ、美味しそうですね。はい。
オペレーター: それは、牛は、あのー、北海道の牛です。,オペレーター: こちらは、あのー、ま、お魚もお肉も食べられるみたいな形で。,カスタマー: うんうん。
カスタマー: 安いですね。フフフフ。,オペレーター: ええ、あのー、東京の半値以下、フフフ、フフフ。,カスタマー: フフフフ、ですね、フフ。
オペレーター: そういう、ま、公園みたいなところもございますし。,オペレーター: ええ、ええ。,カスタマー: そこで遊びながら…とかっていうような形ですかね。
オペレーター: 一応、行かれる季節、えーと、いつ頃に行かれるのは、もう決まってますか？,オペレーター: そうですね、あの、ゴールデンウィークの前ぐらいに。,カスタマー: あ、なるほど、ゴールデンウィーク前ぐらい。
カスタマー: はい、はい。,オペレーター: はい、ではお客様どちらになさいますか？先程の定食系のお店がよいか、或いは今申し上げましたこちら名前がですね、京料理卯柳先斗町花と言います。,カスタマー: へー。
オペレーター: はい。それでですね、あのー、お連れの方、妹様がですね、あの、お足が悪いということで、もしよろしければ、あの、お席とかですね、事前にご予約なさった方がいいと思うんですね。,オペレーター: はい。ええ、ええ。,カスタマー: あ、はい。
オペレーター: <>でしたりとか、こう、アグー豚って、<>。,オペレーター: ああー、アグー豚、うんうん。,カスタマー: アグー豚の専門店、みたいな、ところでしたりとか。
オペレーター: はい。お待たせいたしました。はい、例えばですね、りんごを使ったりんごのパイですこ、パイですとか。,オペレーター: はい。はい、そういったお店もありますね。こちら例えばなんですけど、はい、こちらはですねあのー…弘前駅前公園の近くにあるパン屋さんなんですけれども。,カスタマー: へー。
カスタマー: はい。,オペレーター: 1個、足湯ゆらりっていうところが。,カスタマー: ふーん。
カスタマー: うーん。,オペレーター: あー、それがいいですねー、うーん。,カスタマー: あ、こちらのイメージでございますか。
カスタマー: はい。,オペレーター: そういう感じですと、少々お待ちください。,カスタマー: はい。
カスタマー: はい。はい、こちらですね、ブセナ海中公園というところが、海中展望塔があるんですね。,オペレーター: はい。,カスタマー: で、その中で、グラス、このグラス、ガラスっていってもいいんですけれども、ガラスの底になったボートがあったりしてですね、そのガラスの底のボートの中から泳いでいるお魚、熱帯魚とかを見ることができる場所になっております。
カスタマー: えっとー…、実は二十年前に、家族で行ったことがるんですけれどもー。,オペレーター: ええ、ええ。,カスタマー: なんか、ゆ、よくわからなくってー、あのー…。
オペレーター: なのでちょっとあの変わったところで面白いなと思うんですけど、よ、夜ですね。はい。,オペレーター: 水平線から月があって書いてありまして。,カスタマー: へー。
オペレーター: はい。ちょっとその情報が。はい。,オペレーター: じゃ、じゃあ、ま、まあ、企画展が何でもちょっと行ってみたい、興味あるんで。,カスタマー: あ、はい。ありがとうございます。
カスタマー: 大阪だと、私はあの、ユニバーサルスタジオジャパンしか行ったことがなくてー。,オペレーター: はい。,カスタマー: ええ。
オペレーター: あるいは老舗のお店とか、そういったところがおすすめとなります。,オペレーター: はい。ありがとうございます。であれば、老舗のところが非常に気になるので。,カスタマー: ええ。ええ、ええ。
カスタマー: うん。,オペレーター: ということで、えーっと。,カスタマー: 直売所の2階から、あのガラスの窓越しに醸造風景見学できるみたいですね。
オペレーター: こういったところはご興味ございますか？,オペレーター: はい、海鮮料理大好きなのでぜひお刺身おいしいのが食べたいです。,カスタマー: かしこまりました。はいそうですね、こちらがですねあのー、
オペレーター: そういった場所もございまして、なんていうんでしょうか、伝統のレストランで選ぶか。,オペレーター: うんうん。,カスタマー: あるいは、その辺にあるような洋食店のような感じのレストランでお選びいただくか。
カスタマー: あ、そうですね、もうそういうのだけで。,オペレーター: やってるようなお店も全然いいですけど、はい。,カスタマー: まあメニューとしてあるんだったら<>
オペレーター: ええ。で、お店の店構えもですね、あのー、沖縄らしい、あの、赤い瓦の建物となっておりまして。はい。,オペレーター: はい。,カスタマー: ああー。
カスタマー: うん。,オペレーター: ああ、ああ。,カスタマー: ああ、ああ。
カスタマー: ふんふん。,オペレーター: 卓球もあるかもしれないですね。,カスタマー: なんか、い…。
カスタマー: あ、4名になります。,オペレーター: 4名様でございますね。,カスタマー: こちらお友達との4名様でしょうか？あるいはご家族での4名様でしょうか。
カスタマー: うんうんうん。,オペレーター: はい。,カスタマー: はい。
オペレーター: こちらで、えーお昼沖縄料理お召し上がりになって、轟の滝でこちら滝をご覧になる。,オペレーター: はい。,カスタマー: あと沖縄の美ら海水族館ご訪問なさって、夜はホテルオリオンモトブリゾートアンドスパ、オールデイダイニングシリウスさんでございますね。
カスタマー: ふんふんふん。,オペレーター: んー。,カスタマー: あとは、ちょっと海水浴場が多くなってしまうんですけれども。
オペレーター: あのー、こちらに行けばー、あのー、ま、いろんなものが、召し上がれるんじゃないかなって思うんですけれども。,オペレーター: ええ、ええ。,カスタマー: ああ。
カスタマー: はい,オペレーター: あ,カスタマー: 情報不足でいえいえ、とんでもないです。とんでもないです。
オペレーター: あ,オペレーター: かしこまりました。,カスタマー: で、あのー、特におすすめがですねー
カスタマー: はい,オペレーター: そうですね。,カスタマー: はい、ええ
オペレーター: で後はどこだろうな冬だと,オペレーター: うーん,カスタマー: 一応冬とかちょっと関係ないんですけど
オペレーター: 屋外レジャープールっていう、プールなんですけれども。,オペレーター: プール、あー、プール。はい。,カスタマー: と、こちらだと、ちょっと、ちっちゃいお子さまどうか、ちょっと確認いたします。
カスタマー: はい,オペレーター: あのー,カスタマー: お客様は、あのー、蟹料理などはお好きでしょうか？
オペレーター: あー、ええ、ええ。,オペレーター: はいはい。はい。,カスタマー: はい。
カスタマー: はい。あっはい。うんうん、はい。,オペレーター: しかもここですね、創業が1893年。,カスタマー: すっごーいですねー。
オペレーター: あと<>ハウスもあるのでー、結構ゆったり楽しめるんじゃないかなって思うんですけれども。,オペレーター: ああ。,カスタマー: ううん。
カスタマー: あ、そうです。あえてちょっと寒い季節に、あのー訪ねようとしているんですけれども。はい。,オペレーター: ええ。はい。あ、ただ、あ、はい、ただですね、あのーえーとですね、その五重の塔自体はあの冬もご覧になることはできるんですけれども、あのー宝物館ですね。,カスタマー: はい。はい。
カスタマー: んー。,オペレーター: こちらもはいあの眺めが大変よろしくてですね、あの夕日、夕日の名所として知られるところでございます。はい。,カスタマー: へー。
カスタマー: うんうん。,オペレーター: 並んで置かれる形になります。,カスタマー: はあ。
オペレーター: <>とかもー、あのー、ね、天気が良ければ、荒俣峡とかは素晴らしいんじゃないかなと思うんですけれども。,オペレーター: そうですね、ううん。,カスタマー: <>ちょっとお天気次第ってところもあるんですが、後半はやっぱり屋根のある所が多いので、あのーお天気が悪ければ、あの後半の植物園とか、あの昆虫館とかを時間延ばしていただければ、あの<>的に楽しめるんじゃないかと思われます。
